zip.code,city,county,store.number,store.name,address,store.latitude,store.longitude
50125,Indianola,Warren,4504,JIFFY EXPRESS,311 N Jefferson,,
50125,Indianola,Warren,4066,Xpress Liquor,1201 N Jefferson Ste 100,41.371387,-93.558425
50125,Indianola,Warren,5396,Casey's General Store,301 E Trailridge Ave,,
50126,Iowa Falls,Hardin,2539,Hy-Vee Food Store,Hwy 65 S,,
50126,Iowa Falls,Hardin,4284,Fareway Stores,500 Iowa St,42.5223242,-93.2636792
50126,Iowa Falls,Hardin,4691,Railroad Street Tobacco and Spirits,701 Railroad St,42.51871,-93.265716
50126,Iowa Falls,Hardin,4024,Wal-Mart 1546,840 S Oak,42.5031566,-93.2624382
50126,Iowa Falls,Hardin,4658,Casey's General Store,904 Washington Ave,42.519634,-93.268365
50129,Jefferson,Greene,3791,Pit Stop Liquor and Tobacco,111 E Harrison St,42.014306,-94.374603
50129,Jefferson,Greene,2671,Hy-Vee,106 W Washington St,42.0172685,-94.37498
50129,Jefferson,Greene,4190,Fareway Stores,1207 N Elm St,42.027128,-94.37767575
50129,Jefferson,Greene,5037,Uncorked Wine & Spirits,111 E Harrison St,42.014308,-94.3741165
50129,Jefferson,Greene,4653,Casey's General Store,508 N Elm,42.02015575,-94.377422
50129,Marion,Linn,2514,Hy-Vee Drugstore,2790 7th Ave,42.0332276666667,-91.5822938333333
50130,Jewell,Hamilton,4651,Casey's General Store,301 Main St,42.302654,-93.640039
50131,Johnston,Polk,5124,Price Chopper,5440 Nw 86th St,41.659066,-93.736517
50131,Johnston,Polk,2962,Dahl's,5440 Nw 86th St,41.659093,-93.736517
50131,Johnston,Polk,2587,Hy-Vee Food Store,5750 Merle Hay Rd,41.66467,-93.697737
50131,Johnston,Polk,4368,Kum & Go,5800 Nglen Dr,41.682764,-93.6982481666667
50131,Johnston,Polk,4920,Kum & Go,5225 Nw 86th St,41.655804,-93.736395
50131,Johnston,Polk,4730,Walgreens,6200 Merle Hay Rd,41.673355,-93.697684
50131,Johnston,Polk,4853,Kum & Go,6130 Nw 86th St,41.67184,-93.736534
50131,Johnston,Polk,4458,QUIK TRIP,5169 Merle Hay Rd,41.654179,-93.6975335
50131,Johnston,Polk,4505,Casey's General Store,6417 Nglen Dr,41.6878982,-93.7060582
50131,Johnston,Polk,5211,Kum & Go,5225 Nw 86th St,41.655804,-93.736395
50131,Johnston,Polk,5307,Fareway Store,6005 Merle Hay Rd,,
50131,Johnston,Polk,5307,Fareway Stores,6005 Merle Hay Rd,,
50135,Kellogg,Jasper,5138,Kellogg Country Store,103 Blair St,41.7144,-92.903113
50136,Kellog,Jasper,4071,Kellogg Country Store,103 Blair St,41.714397,-92.902995
50138,Knoxville,Marion,3818,Round Window Liquor,703 W Pleasant St,41.320746,-93.105641
50138,Knoxville,Marion,4817,Casey's General Store,1201 E Main St,41.31897975,-93.0863405
50138,Knoxville,Marion,3660,Wal-Mart 2935,814 W Bell Ave,,
50138,Knoxville,Marion,2566,Hy-Vee Food Store,813 N Lincoln Ste 1,,
50138,Knoxville,Marion,4275,Fareway Stores,1308 S Lincoln St,41.308103,-93.109473
50138,Knoxville,Marion,4407,KUM & GO,1201 E Main St,41.318976,-93.086599
50140,Lamoni,Decatur,4419,KUM & GO,2091 E Main St,40.6235086666667,-93.8967106666667
50140,Lamoni,Decatur,4782,Casey's General Store,406 E Main St,40.62366,-93.92909
50140,Lamoni,Decatur,2674,Hy-Vee Food Store,720 E Main,40.623647,-93.924475
50140,Lamoni,Decatur,4419,Kum & Go,2091 E Main St,40.6235086666667,-93.8967106666667
50142,Le Grand,Marshall,4177,"Good Luck, Inc.",806 W Main St,42.006665,-92.784654
50142,Le Grand,Marshall,5348,"Super Lucky, Inc",806 W Main St,42.006665,-92.784654
50144,Leon,Decatur,3582,Korthouse Liquor,102 W 1st St,40.739501,-93.747221
50144,Leon,Decatur,2668,Hy-Vee Food Store,1004 W 1st St,40.739678,-93.7609142
50144,Leon,Decatur,4537,Casey's General Store,401 Nw Church St,40.74212525,-93.747901
50144,Leon,Decatur,3582,Korthouse Liquor,107 1st St E,40.739501,-93.747221
50150,Lovilia,Monroe,4811,Casey's General Store,1807 Hwy 5 S,41.135394,-92.906617
50156,Madrid,Boone,3831,The Market Of Madrid,301 Annex Rd,41.87894,-93.815365
50158,Marshalltown,Marshall,3719,Wal-Mart 0581,2802 S Center St,42.0123588,-92.9123148
50158,Marshalltown,Marshall,4426,LIQUOR AND GROCERY DEPOT,114 Central St N Suite 1,,
50158,Marshalltown,Marshall,2544,Hy-Vee Food Store,802 S Center,42.0383625,-92.9106643333333
50158,Marshalltown,Marshall,3881,7 Rayos Liquor Store,120 E Main St,42.049166,-92.9104
